iter	Passed	Remaining
0	60	14944
1	60	7492
2	60	5003
3	61	3759
4	61	3013
5	61	2515
6	62	2159
7	62	1891
8	62	1683
9	63	1517
10	63	1382
11	63	1268
12	64	1172
13	64	1089
14	64	1018
15	65	955
16	65	899
17	65	850
18	66	805
19	66	766
20	67	731
21	67	698
22	67	669
23	68	642
24	68	617
25	69	594
26	69	572
27	69	552
28	70	534
29	70	516
30	70	499
31	71	484
32	71	469
33	71	456
34	72	443
35	72	431
36	72	420
37	73	409
38	73	399
39	74	390
40	74	380
41	74	371
42	75	362
43	75	354
44	75	346
45	76	338
46	76	330
47	76	323
48	77	317
49	77	310
50	77	304
51	78	298
52	78	292
53	78	286
54	79	280
55	79	275
56	79	270
57	80	265
58	80	260
59	80	255
60	81	251
61	81	247
62	81	242
63	82	238
64	82	234
65	82	230
66	83	226
67	83	223
68	83	219
69	83	215
70	84	212
71	84	209
72	84	205
73	85	202
74	85	199
75	85	196
76	86	193
77	86	190
78	86	188
79	87	185
80	87	182
81	87	180
82	88	177
83	88	174
84	88	172
85	89	170
86	89	167
87	89	165
88	90	163
89	90	161
90	91	159
91	91	157
92	91	154
93	92	152
94	92	150
95	92	148
96	93	146
97	93	144
98	93	142
99	94	141
100	94	139
101	94	137
102	95	135
103	95	133
104	95	132
105	96	130
106	96	128
107	96	127
108	97	125
109	97	123
110	97	122
111	98	120
112	98	119
113	98	117
114	99	116
115	99	114
116	99	113
117	99	111
118	100	110
119	100	109
120	100	107
121	101	106
122	101	104
123	102	103
124	102	102
125	102	101
126	103	99
127	103	98
128	103	97
129	104	96
130	104	95
131	104	93
132	105	92
133	105	91
134	105	90
135	106	89
136	106	87
137	106	86
138	107	85
139	107	84
140	108	83
141	108	82
142	108	81
143	109	80
144	109	79
145	109	78
146	110	77
147	110	76
148	110	75
149	111	74
150	111	73
151	111	72
152	112	71
153	112	70
154	112	69
155	113	68
156	113	67
157	114	66
158	114	65
159	114	64
160	115	63
161	115	62
162	115	61
163	116	60
164	116	59
165	116	59
166	117	58
167	117	57
168	117	56
169	117	55
170	118	54
171	118	53
172	119	52
173	119	52
174	119	51
175	120	50
176	120	49
177	120	48
178	121	48
179	121	47
180	121	46
181	122	45
182	122	44
183	122	44
184	123	43
185	123	42
186	123	41
187	124	40
188	124	40
189	124	39
190	125	38
191	125	37
192	125	37
193	126	36
194	126	35
195	126	34
196	127	34
197	127	33
198	127	32
199	128	32
200	128	31
201	128	30
202	129	29
203	129	29
204	129	28
205	130	27
206	130	27
207	130	26
208	131	25
209	131	25
210	132	24
211	132	23
212	132	23
213	133	22
214	133	21
215	133	21
216	134	20
217	134	19
218	134	19
219	134	18
220	135	17
221	135	17
222	136	16
223	136	15
224	136	15
225	137	14
226	137	13
227	137	13
228	138	12
229	138	12
230	138	11
231	139	10
232	139	10
233	139	9
234	139	8
235	140	8
236	140	7
237	141	7
238	141	6
239	141	5
240	141	5
241	142	4
242	142	4
243	142	3
244	143	2
245	143	2
246	144	1
247	144	1
248	144	0
249	145	0
