feature,weight_factor,adjusted_rand_index,semantic_label_agreement
bmi,0.8,0.9488341811473349,0.9809264305177112
bmi,0.9,0.961048718051927,0.9850136239782016
bmi,1.1,0.9700162264631949,0.989100817438692
bmi,1.2,0.9658757138482759,0.9877384196185286
triglycerides,0.8,0.9544989444724459,0.9836512261580381
triglycerides,0.9,0.9534772075083645,0.9836512261580381
triglycerides,1.1,0.9585275461383332,0.9836512261580381
triglycerides,1.2,0.9360520248436982,0.9754768392370572
ldl,0.8,0.918866245060787,0.9700272479564033
ldl,0.9,0.9600289459895779,0.9850136239782016
ldl,1.1,0.9499889894673238,0.9822888283378747
ldl,1.2,0.9185245198192938,0.9713896457765667
hdl,0.8,0.9350007473495446,0.9754768392370572
hdl,0.9,0.9350007473495446,0.9754768392370572
hdl,1.1,0.9627886305398587,0.9863760217983651
hdl,1.2,0.9414928561670971,0.9795640326975477
age,0.8,0.966610364584697,0.9877384196185286
age,0.9,0.9574392935017382,0.9850136239782016
age,1.1,1.0,1.0
age,1.2,1.0,1.0
waist_circumference,0.8,0.9460433178010912,0.9795640326975477
waist_circumference,0.9,0.976038075796596,0.9918256130790191
waist_circumference,1.1,0.9619978545502821,0.9863760217983651
waist_circumference,1.2,0.9619978545502821,0.9863760217983651
