corrected_rank,feature,feature_label,missing_n,missing_pct,target_entropy_h_y,legacy_missing_unsafe_ig,corrected_ig_missing_as_category,conditional_entropy_h_y_given_x,corrected_ig_pct_of_h_y,observed_only_ig,missingness_indicator_ig,decision,decision_reason
1,hdl,HDL,28,2.0348837209302326,0.996772937609484,0.09025577821154973,0.07058621301434997,0.9261867245951341,7.081473658748575,0.0717150744275471,0.0003304569617821329,Retained,Non-diagnostic lipid predictor
2,metabolic_syndrome_score,Metabolic syndrome score,0,0.0,0.996772937609484,0.046720258191654596,0.06429869107536823,0.9324742465341158,6.4506858733116195,0.06429869107536823,0.0,Excluded,Composite duplicate of retained components
3,waist_circumference,Waist circumference,28,2.0348837209302326,0.996772937609484,0.08401729565194949,0.06396904869776421,0.9328038889117198,6.417614913500593,0.06520866901382871,8.730027433301313e-05,Retained,Accessible central-adiposity predictor
4,fasting_insulin,Fasting insulin,441,32.049418604651166,0.996772937609484,0.37853905991552805,0.06045627086109551,0.9363166667483885,6.065199864483187,0.08834784397837347,0.00042339722753492737,Excluded,32.0% missing; specialized assay; not routinely available
5,tg_hdl_ratio,TG/HDL ratio,36,2.616279069767442,0.996772937609484,0.08646920273276981,0.06030641203509535,0.9364665255743887,6.050165464937834,0.06183741946333676,8.683203446235854e-05,Excluded,Derived duplicate of retained TG and HDL
6,bmi,BMI,11,0.7994186046511629,0.996772937609484,0.058756610574607016,0.050810148128206944,0.9459627894812771,5.097464649277362,0.051216199014610164,3.3809371144943867e-06,Retained,Accessible anthropometric predictor
7,triglycerides,Triglycerides,36,2.616279069767442,0.996772937609484,0.06697562229452125,0.0408128315968469,0.9559601060126371,4.0944963548796265,0.041820130893911234,8.683203446235854e-05,Retained,Non-diagnostic lipid predictor
8,bmi_category,BMI category,11,0.7994186046511629,0.996772937609484,0.03444396961733576,0.03162974592404677,0.9651431916854373,3.1732147543956173,0.03188122946668026,3.3809371144943867e-06,Excluded,Derived duplicate of retained continuous BMI
9,crp,CRP,664,48.25581395348838,0.996772937609484,0.5026689565255655,0.024211698997071096,0.972561238612413,2.429008461559654,0.04453317036845106,0.0011683724692099773,Excluded,48.3% missing; cycle-limited; not in deployed workflow
10,alcohol_encoded,Alcohol use,0,0.0,0.996772937609484,0.018243546981550618,0.021798600314483996,0.974974337295,2.1869173501803334,0.021798600314483996,0.0,Retained,Behavioral covariate; not selected by IG alone
11,systolic,Systolic BP,82,5.959302325581396,0.996772937609484,0.08027388711266725,0.020680863856853304,0.9760920737526307,2.07478183611719,0.021773585306161802,0.00020483232620416292,Excluded,Removed from cuff-free no-BP contract
12,family_history_diabetes,Family history of diabetes,265,19.25872093023256,0.996772937609484,0.19628235427622032,0.014425377483694324,0.9823475601257897,1.447207978809102,0.011224978417857745,0.00536218633381047,Excluded,19.3% missing; unavailable in 2021-2023; not in deployed workflow
13,total_cholesterol,Total cholesterol,28,2.0348837209302326,0.996772937609484,0.028459140111114833,0.008789574913915188,0.9879833626955689,0.8818031250923437,0.008634826633631243,0.0003304569617821329,Excluded,Redundant with retained lipid components
14,activity_encoded,Physical activity,0,0.0,0.996772937609484,0.00736016384398519,0.00821319572591006,0.988559741883574,0.8239786029511796,0.00821319572591006,0.0,Retained,Behavioral covariate; not selected by IG alone
15,ldl,LDL,55,3.997093023255814,0.996772937609484,0.044969838319776634,0.005467223054838155,0.9913057145546459,0.5484923244354879,0.005579797533327713,0.00011045521942687486,Retained,Non-diagnostic lipid predictor
16,age,Age,0,0.0,0.996772937609484,0.004260644744937592,0.004260644744937592,0.9925122928645465,0.42744386250651084,0.004260644744937592,0.0,Retained,Prespecified demographic covariate
17,smoking_encoded,Smoking status,0,0.0,0.996772937609484,0.004022598958312473,0.004199467472003171,0.9925734701374809,0.4213063290095502,0.004199467472003171,0.0,Retained,Behavioral covariate; not selected by IG alone
18,diastolic,Diastolic BP,82,5.959302325581396,0.996772937609484,0.06178264221827123,0.002189618962457285,0.9945833186470268,0.21967078758263142,0.0021105613689986757,0.00020483232620416292,Excluded,Removed from cuff-free no-BP contract
