Fold,Test_Cycle,Model,Inner_CV_AUC,AUC_ROC,Accuracy,Sensitivity,Specificity,PPV,NPV,F1,Threshold,Threshold_Strategy,Original_Threshold_Strategy,Original_Threshold,Guardrail_Triggered,Guardrail_Reason,Guardrail_Spec_Floor,Best_Params,Precision,Recall,FPR,FNR,Balanced_Accuracy,Year_Group
1,2009-2010,Logistic Regression,0.7388532141078659,0.710948310948311,0.6756756756756757,0.7606837606837606,0.580952380952381,0.6691729323308271,0.6853932584269663,0.712,0.4699999999999998,youden,youden,0.4699999999999998,False,,0.4,"{""model__C"": 0.01}",0.6691729323308271,0.7606837606837606,0.419,0.2393,0.6708,2009-2010
1,2009-2010,Random Forest,0.7270095324484265,0.6872608872608872,0.6576576576576577,0.7094017094017094,0.6,0.664,0.6494845360824743,0.6859504132231405,0.5099999999999998,youden,youden,0.5099999999999998,False,,0.4,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 25, ""model__n_estimators"": 300}",0.664,0.7094017094017094,0.4,0.2906,0.6547,2009-2010
1,2009-2010,LightGBM,0.7106274787399447,0.6962148962148962,0.6621621621621622,0.7606837606837606,0.5523809523809524,0.6544117647058824,0.6744186046511628,0.7035573122529645,0.4699999999999998,youden,youden,0.4699999999999998,False,,0.4,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 30, ""model__n_estimators"": 200}",0.6544117647058824,0.7606837606837606,0.4476,0.2393,0.6565,2009-2010
1,2009-2010,XGBoost,0.7046397891734832,0.7006105006105006,0.6486486486486487,0.7435897435897436,0.5428571428571428,0.6444444444444445,0.6551724137931034,0.6904761904761906,0.6599999999999997,youden,youden,0.6599999999999997,False,,0.4,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 200}",0.6444444444444445,0.7435897435897436,0.4571,0.2564,0.6432,2009-2010
2,2011-2012,Logistic Regression,0.7413630104532114,0.7134844322344323,0.6684210526315789,0.6339285714285714,0.717948717948718,0.7634408602150538,0.5773195876288659,0.6926829268292682,0.4899999999999998,youden,youden,0.4899999999999998,False,,0.4,"{""model__C"": 0.1}",0.7634408602150538,0.6339285714285714,0.2821,0.3661,0.6759,2011-2012
2,2011-2012,Random Forest,0.7240424011729321,0.7026098901098902,0.6736842105263158,0.7142857142857143,0.6153846153846154,0.7272727272727273,0.6,0.7207207207207208,0.46,guardrail_shift_floor,screening,0.3599999999999999,True,specificity_collapse_shift_floor,0.45,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 25, ""model__n_estimators"": 200}",0.7272727272727273,0.7142857142857143,0.3846,0.2857,0.6648,2011-2012
2,2011-2012,LightGBM,0.7187880727569942,0.6921932234432234,0.6578947368421053,0.6428571428571429,0.6794871794871795,0.7422680412371134,0.5698924731182796,0.6889952153110048,0.4799999999999998,youden,youden,0.4799999999999998,False,,0.4,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 20, ""model__n_estimators"": 200}",0.7422680412371134,0.6428571428571429,0.3205,0.3571,0.6612,2011-2012
2,2011-2012,XGBoost,0.712267267091855,0.6991758241758241,0.6631578947368421,0.6964285714285714,0.6153846153846154,0.7222222222222222,0.5853658536585366,0.7090909090909091,0.6399999999999997,youden,youden,0.6399999999999997,False,,0.4,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 200}",0.7222222222222222,0.6964285714285714,0.3846,0.3036,0.6559,2011-2012
3,2013-2014,Logistic Regression,0.7347532702766717,0.7356497668997669,0.6567796610169492,0.7272727272727273,0.5673076923076923,0.6808510638297872,0.6210526315789474,0.7032967032967034,0.4699999999999998,youden,youden,0.4699999999999998,False,,0.4,"{""model__C"": 0.01}",0.6808510638297872,0.7272727272727273,0.4327,0.2727,0.6473,2013-2014
3,2013-2014,Random Forest,0.7142471484019097,0.7180944055944056,0.6313559322033898,0.7272727272727273,0.5096153846153846,0.6530612244897959,0.5955056179775281,0.6881720430107526,0.45999999999999985,youden,youden,0.45999999999999985,False,,0.4,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 25, ""model__n_estimators"": 300}",0.6530612244897959,0.7272727272727273,0.4904,0.2727,0.6184,2013-2014
