cohort,feature_set,fold,test_cycle,median_bmi,median_triglycerides,median_ldl,median_hdl,median_age,median_waist_circumference,median_smoking_encoded,median_activity_encoded,median_alcohol_encoded,median_total_cholesterol,median_systolic,median_diastolic,median_fasting_insulin,median_crp,median_family_history_diabetes
all_cycles,baseline_9,1,2009-2010,29.8,104.0,123.0,56.0,55.0,100.1,0.0,1.0,1.0,,,,,,
all_cycles,baseline_9,2,2011-2012,29.810000000000002,105.0,122.0,56.0,55.0,100.1,0.0,1.0,1.0,,,,,,
all_cycles,baseline_9,3,2013-2014,29.7,105.5,124.0,56.0,55.0,100.1,0.0,1.0,1.0,,,,,,
all_cycles,baseline_9,4,2015-2016,29.63,108.0,122.0,56.0,55.0,100.1,0.0,1.0,1.0,,,,,,
all_cycles,baseline_9,5,2017-2018,29.8,107.0,122.0,56.0,55.0,100.0,0.0,1.0,1.0,,,,,,
all_cycles,baseline_9,6,2021-2023,29.6,106.0,123.0,56.0,55.0,99.8,0.0,1.0,1.0,,,,,,
all_cycles,expanded_all_15,1,2009-2010,29.8,104.0,123.0,56.0,55.0,100.1,0.0,1.0,1.0,206.0,122.0,73.0,10.42,2.935,1.0
all_cycles,expanded_all_15,2,2011-2012,29.810000000000002,105.0,122.0,56.0,55.0,100.1,0.0,1.0,1.0,206.0,122.0,72.0,10.42,2.935,1.0
all_cycles,expanded_all_15,3,2013-2014,29.7,105.5,124.0,56.0,55.0,100.1,0.0,1.0,1.0,208.0,123.0,74.0,10.434999999999999,2.935,1.0
all_cycles,expanded_all_15,4,2015-2016,29.63,108.0,122.0,56.0,55.0,100.1,0.0,1.0,1.0,207.0,122.0,74.0,10.49,2.88,1.0
all_cycles,expanded_all_15,5,2017-2018,29.8,107.0,122.0,56.0,55.0,100.0,0.0,1.0,1.0,206.0,122.0,72.0,10.26,2.8449999999999998,0.0
all_cycles,expanded_all_15,6,2021-2023,29.6,106.0,123.0,56.0,55.0,99.8,0.0,1.0,1.0,208.0,124.0,72.0,10.44,3.16,1.0
all_cycles,expanded_minus_crp,1,2009-2010,29.8,104.0,123.0,56.0,55.0,100.1,0.0,1.0,1.0,206.0,122.0,73.0,10.42,,1.0
all_cycles,expanded_minus_crp,2,2011-2012,29.810000000000002,105.0,122.0,56.0,55.0,100.1,0.0,1.0,1.0,206.0,122.0,72.0,10.42,,1.0
all_cycles,expanded_minus_crp,3,2013-2014,29.7,105.5,124.0,56.0,55.0,100.1,0.0,1.0,1.0,208.0,123.0,74.0,10.434999999999999,,1.0
all_cycles,expanded_minus_crp,4,2015-2016,29.63,108.0,122.0,56.0,55.0,100.1,0.0,1.0,1.0,207.0,122.0,74.0,10.49,,1.0
all_cycles,expanded_minus_crp,5,2017-2018,29.8,107.0,122.0,56.0,55.0,100.0,0.0,1.0,1.0,206.0,122.0,72.0,10.26,,0.0
