cycle,feature,n,missing_n,missing_percent
2009-2010,age,222,0,0.0
2009-2010,bmi,222,1,0.45045045045045046
2009-2010,waist_circumference,222,3,1.3513513513513513
2009-2010,triglycerides,222,4,1.8018018018018018
2009-2010,ldl,222,9,4.054054054054054
2009-2010,hdl,222,4,1.8018018018018018
2009-2010,total_cholesterol,222,4,1.8018018018018018
2009-2010,systolic,222,12,5.405405405405405
2009-2010,diastolic,222,12,5.405405405405405
2009-2010,fasting_insulin,222,222,100.0
2009-2010,crp,222,222,100.0
2009-2010,family_history_diabetes,222,0,0.0
2009-2010,smoking_status,222,0,0.0
2009-2010,physical_activity,222,0,0.0
2009-2010,alcohol_use,222,0,0.0
2011-2012,age,190,0,0.0
2011-2012,bmi,190,3,1.5789473684210527
2011-2012,waist_circumference,190,6,3.1578947368421053
2011-2012,triglycerides,190,4,2.1052631578947367
2011-2012,ldl,190,6,3.1578947368421053
2011-2012,hdl,190,4,2.1052631578947367
2011-2012,total_cholesterol,190,4,2.1052631578947367
2011-2012,systolic,190,21,11.052631578947368
2011-2012,diastolic,190,21,11.052631578947368
2011-2012,fasting_insulin,190,190,100.0
2011-2012,crp,190,190,100.0
2011-2012,family_history_diabetes,190,0,0.0
2011-2012,smoking_status,190,0,0.0
2011-2012,physical_activity,190,0,0.0
2011-2012,alcohol_use,190,0,0.0
2013-2014,age,236,0,0.0
2013-2014,bmi,236,0,0.0
2013-2014,waist_circumference,236,3,1.2711864406779663
2013-2014,triglycerides,236,2,0.847457627118644
2013-2014,ldl,236,4,1.694915254237288
2013-2014,hdl,236,2,0.847457627118644
2013-2014,total_cholesterol,236,2,0.847457627118644
2013-2014,systolic,236,16,6.779661016949152
2013-2014,diastolic,236,16,6.779661016949152
2013-2014,fasting_insulin,236,7,2.9661016949152543
2013-2014,crp,236,236,100.0
2013-2014,family_history_diabetes,236,0,0.0
2013-2014,smoking_status,236,0,0.0
2013-2014,physical_activity,236,0,0.0
2013-2014,alcohol_use,236,0,0.0
2015-2016,age,229,0,0.0
2015-2016,bmi,229,1,0.43668122270742354
2015-2016,waist_circumference,229,2,0.8733624454148471
2015-2016,triglycerides,229,9,3.9301310043668125
2015-2016,ldl,229,12,5.240174672489083
2015-2016,hdl,229,1,0.43668122270742354
2015-2016,total_cholesterol,229,1,0.43668122270742354
2015-2016,systolic,229,4,1.7467248908296942
2015-2016,diastolic,229,4,1.7467248908296942
2015-2016,fasting_insulin,229,4,1.7467248908296942
2015-2016,crp,229,2,0.8733624454148471
2015-2016,family_history_diabetes,229,0,0.0
2015-2016,smoking_status,229,0,0.0
2015-2016,physical_activity,229,0,0.0
2015-2016,alcohol_use,229,0,0.0
2017-2018,age,234,0,0.0
2017-2018,bmi,234,3,1.282051282051282
2017-2018,waist_circumference,234,9,3.8461538461538463
2017-2018,triglycerides,234,6,2.564102564102564
2017-2018,ldl,234,9,3.8461538461538463
2017-2018,hdl,234,6,2.564102564102564
2017-2018,total_cholesterol,234,6,2.564102564102564
2017-2018,systolic,234,28,11.965811965811966
2017-2018,diastolic,234,28,11.965811965811966
2017-2018,fasting_insulin,234,6,2.564102564102564
2017-2018,crp,234,8,3.418803418803419
2017-2018,family_history_diabetes,234,0,0.0
2017-2018,smoking_status,234,0,0.0
2017-2018,physical_activity,234,0,0.0
2017-2018,alcohol_use,234,0,0.0
2021-2023,age,265,0,0.0
2021-2023,bmi,265,3,1.1320754716981132
2021-2023,waist_circumference,265,5,1.8867924528301887
2021-2023,triglycerides,265,11,4.150943396226415
2021-2023,ldl,265,15,5.660377358490567
2021-2023,hdl,265,11,4.150943396226415
2021-2023,total_cholesterol,265,11,4.150943396226415
2021-2023,systolic,265,1,0.37735849056603776
2021-2023,diastolic,265,1,0.37735849056603776
2021-2023,fasting_insulin,265,12,4.528301886792453
2021-2023,crp,265,6,2.2641509433962264
2021-2023,family_history_diabetes,265,265,100.0
2021-2023,smoking_status,265,0,0.0
2021-2023,physical_activity,265,0,0.0
2021-2023,alcohol_use,265,0,0.0
