cohort,feature_set,fold,test_cycle,n_train,n_test,test_prevalence,inner_best_auc,best_C,threshold,threshold_strategy,roc_auc,pr_auc,brier,balanced_accuracy,sensitivity,specificity,ppv,npv,f1
all_cycles,baseline_9,1,2009-2010,1154,222,0.527027027027027,0.7388532141078659,0.01,0.4699999999999998,youden,0.710948310948311,0.6966589951845981,0.2168407252495009,0.6708180708180709,0.7606837606837606,0.580952380952381,0.6691729323308271,0.6853932584269663,0.712
all_cycles,baseline_9,2,2011-2012,1186,190,0.5894736842105263,0.7413630104532114,0.1,0.4899999999999998,youden,0.7134844322344323,0.7616077933053569,0.22069870887050994,0.6759386446886446,0.6339285714285714,0.717948717948718,0.7634408602150538,0.5773195876288659,0.6926829268292682
all_cycles,baseline_9,3,2013-2014,1140,236,0.559322033898305,0.7347532702766717,0.01,0.4699999999999998,youden,0.7356497668997669,0.7599992162566414,0.20593593496391485,0.6472902097902098,0.7272727272727273,0.5673076923076923,0.6808510638297872,0.6210526315789474,0.7032967032967034
all_cycles,baseline_9,4,2015-2016,1147,229,0.537117903930131,0.7268663949072572,0.1,0.4799999999999998,youden,0.7876208007363094,0.8015502866286298,0.19127706893874333,0.7258015032980518,0.7723577235772358,0.6792452830188679,0.7364341085271318,0.72,0.753968253968254
all_cycles,baseline_9,5,2017-2018,1142,234,0.5641025641025641,0.733281834087898,0.01,0.4699999999999998,youden,0.7378936423054071,0.7484592817232323,0.21049204425571233,0.6860516934046346,0.7348484848484849,0.6372549019607843,0.7238805970149254,0.65,0.7293233082706766
all_cycles,baseline_9,6,2021-2023,1111,265,0.44528301886792454,0.7365225313422812,0.01,0.40999999999999986,guardrail_nearest_feasible,0.7305430646835005,0.6622701898159611,0.2134400144127371,0.6524558976132826,0.8559322033898306,0.4489795918367347,0.554945054945055,0.7951807228915663,0.6733333333333333
all_cycles,expanded_all_15,1,2009-2010,1154,222,0.527027027027027,0.7544948046331191,0.1,0.4999999999999998,youden,0.7024013024013025,0.7222094399207806,0.22024731982641535,0.6609279609279609,0.6837606837606838,0.638095238095238,0.6779661016949152,0.6442307692307693,0.6808510638297872
all_cycles,expanded_all_15,2,2011-2012,1186,190,0.5894736842105263,0.7578156229629261,3.0,0.4999999999999998,youden,0.6895604395604396,0.7660430816231185,0.2313700250492273,0.6371336996336996,0.5178571428571429,0.7564102564102564,0.7532467532467533,0.5221238938053098,0.6137566137566138
all_cycles,expanded_all_15,3,2013-2014,1140,236,0.559322033898305,0.7422863784171269,0.01,0.4799999999999998,youden,0.7532051282051282,0.7953152276017204,0.2003210499901259,0.6475815850815851,0.6893939393939394,0.6057692307692307,0.6893939393939394,0.6057692307692307,0.6893939393939394
all_cycles,expanded_all_15,4,2015-2016,1147,229,0.537117903930131,0.7374998680258257,0.1,0.4899999999999998,youden,0.804034361098328,0.8168037250442297,0.1821380029278845,0.7568645497775732,0.7967479674796748,0.7169811320754716,0.765625,0.7524752475247525,0.7808764940239042
all_cycles,expanded_all_15,5,2017-2018,1142,234,0.5641025641025641,0.7454883535092168,0.01,0.4799999999999998,youden,0.751114081996435,0.7687176401760085,0.2022199375920739,0.6985294117647058,0.75,0.6470588235294118,0.7333333333333333,0.6666666666666666,0.7415730337078651
all_cycles,expanded_all_15,6,2021-2023,1111,265,0.44528301886792454,0.7462341957724018,0.1,0.4799999999999998,youden,0.7551020408163266,0.7107628123231713,0.20474251483211003,0.7282370575348783,0.7966101694915254,0.6598639455782312,0.6527777777777778,0.8016528925619835,0.7175572519083969
all_cycles,expanded_minus_crp,1,2009-2010,1154,222,0.527027027027027,0.7552210079748658,0.1,0.4899999999999998,youden,0.7021571021571023,0.72198077838784,0.2202934445222494,0.6514041514041514,0.6837606837606838,0.6190476190476191,0.6666666666666666,0.6372549019607843,0.6751054852320675
all_cycles,expanded_minus_crp,2,2011-2012,1186,190,0.5894736842105263,0.7594612138928992,3.0,0.4999999999999998,youden,0.6895604395604396,0.7660430816231185,0.2313679059714791,0.6371336996336996,0.5178571428571429,0.7564102564102564,0.7532467532467533,0.5221238938053098,0.6137566137566138
all_cycles,expanded_minus_crp,3,2013-2014,1140,236,0.559322033898305,0.7425263305454862,0.01,0.4799999999999998,youden,0.7528409090909091,0.7948674546176219,0.20027197503847102,0.6475815850815851,0.6893939393939394,0.6057692307692307,0.6893939393939394,0.6057692307692307,0.6893939393939394
all_cycles,expanded_minus_crp,4,2015-2016,1147,229,0.537117903930131,0.7385895248504443,0.1,0.4899999999999998,youden,0.8038042644577389,0.8149776166366967,0.18207320889327125,0.7521475686454977,0.7967479674796748,0.7075471698113207,0.7596899224806202,0.75,0.7777777777777777
all_cycles,expanded_minus_crp,5,2017-2018,1142,234,0.5641025641025641,0.7451329243382601,0.01,0.4899999999999998,youden,0.750668449197861,0.7685623794151046,0.2021845004614995,0.6920677361853833,0.7272727272727273,0.6568627450980392,0.732824427480916,0.6504854368932039,0.7300380228136881
all_cycles,expanded_minus_crp,6,2021-2023,1111,265,0.44528301886792454,0.7462750665153353,0.1,0.4799999999999998,youden,0.7549867404588955,0.7107917721291926,0.20471330798554588,0.7282370575348783,0.7966101694915254,0.6598639455782312,0.6527777777777778,0.8016528925619835,0.7175572519083969
