specification,k,centroid_id,n,share_percent,cycle_counts,centroid_bmi,member_median_bmi,member_q1_bmi,member_q3_bmi,missing_percent_bmi,centroid_triglycerides,member_median_triglycerides,member_q1_triglycerides,member_q3_triglycerides,missing_percent_triglycerides,centroid_ldl,member_median_ldl,member_q1_ldl,member_q3_ldl,missing_percent_ldl,centroid_hdl,member_median_hdl,member_q1_hdl,member_q3_hdl,missing_percent_hdl,centroid_age,member_median_age,member_q1_age,member_q3_age,missing_percent_age,centroid_waist_circumference,member_median_waist_circumference,member_q1_waist_circumference,member_q3_waist_circumference,missing_percent_waist_circumference,centroid_fasting_insulin,member_median_fasting_insulin,member_q1_fasting_insulin,member_q3_fasting_insulin,missing_percent_fasting_insulin,centroid_crp,member_median_crp,member_q1_crp,member_q3_crp,missing_percent_crp
core6_all_equal,2,K02-C02,604,43.895348837209305,"{""2009-2010"": 99, ""2011-2012"": 75, ""2013-2014"": 107, ""2015-2016"": 103, ""2017-2018"": 103, ""2021-2023"": 117}",37.388311258278144,36.42,32.9,41.0,0.49668874172185434,163.68874172185429,140.0,100.0,199.0,1.490066225165563,122.30298013245033,120.0,96.75,145.0,4.635761589403973,49.82119205298013,48.0,42.0,56.0,1.1589403973509933,54.253311258278146,55.0,51.0,58.0,0.0,115.3294701986755,113.9,106.225,122.6,2.3178807947019866,,,,,,,,,,
core6_all_equal,2,K02-C01,772,56.104651162790695,"{""2009-2010"": 123, ""2011-2012"": 115, ""2013-2014"": 129, ""2015-2016"": 126, ""2017-2018"": 131, ""2021-2023"": 148}",26.14488341968912,26.1,23.0975,28.869999999999997,1.0362694300518136,97.80829015544042,88.0,65.0,119.0,3.4974093264248705,127.00647668393782,125.0,103.0,150.0,3.4974093264248705,65.85880829015544,64.0,54.0,75.0,2.7202072538860103,54.86139896373057,55.0,52.0,58.0,0.0,90.68652849740933,90.9,83.625,97.675,1.8134715025906734,,,,,,,,,,
core6_all_equal,3,K03-C02,323,23.473837209302324,"{""2009-2010"": 63, ""2011-2012"": 48, ""2013-2014"": 59, ""2015-2016"": 57, ""2017-2018"": 50, ""2021-2023"": 46}",29.86904024767802,29.55,27.0,33.0,0.9287925696594427,214.8575851393189,184.0,149.5,249.0,0.0,151.64705882352942,153.0,129.5,175.0,5.88235294117647,47.21052631578947,47.0,41.0,52.5,0.0,55.012383900928796,55.0,53.0,58.5,0.0,101.0374613003096,101.6,94.25,107.15,1.238390092879257,,,,,,,,,,
core6_all_equal,3,K03-C01,645,46.875,"{""2009-2010"": 99, ""2011-2012"": 89, ""2013-2014"": 109, ""2015-2016"": 106, ""2017-2018"": 109, ""2021-2023"": 133}",25.96663565891473,25.8,22.6,28.89,1.0852713178294573,85.99069767441861,81.0,62.0,103.0,4.186046511627907,120.36744186046512,120.0,99.0,141.0,4.186046511627907,68.53333333333333,66.0,58.0,77.25,3.255813953488372,54.775193798449614,55.0,52.0,58.0,0.0,90.20286821705426,90.4,83.0,97.375,1.7054263565891472,,,,,,,,,,
core6_all_equal,3,K03-C03,408,29.651162790697676,"{""2009-2010"": 60, ""2011-2012"": 53, ""2013-2014"": 68, ""2015-2016"": 66, ""2017-2018"": 75, ""2021-2023"": 86}",40.12306372549019,38.9,35.6,42.754999999999995,0.24509803921568626,121.35539215686275,112.0,82.5,144.0,2.2058823529411766,111.03186274509804,111.0,89.5,132.0,2.2058823529411766,52.65196078431372,51.0,44.0,59.0,1.715686274509804,53.97794117647059,54.0,51.0,58.0,0.0,119.73786764705882,118.6,111.3,126.7,3.1862745098039214,,,,,,,,,,
core6_all_equal,4,K04-C03,121,8.793604651162791,"{""2009-2010"": 21, ""2011-2012"": 13, ""2013-2014"": 26, ""2015-2016"": 17, ""2017-2018"": 17, ""2021-2023"": 27}",32.00694214876033,31.4,28.2,35.5,1.6528925619834711,315.5041322314049,284.0,240.0,351.0,0.0,117.90082644628099,115.0,90.5,145.75,15.702479338842975,42.14049586776859,41.0,36.0,46.0,0.0,54.107438016528924,55.0,51.0,58.0,0.0,106.42231404958677,105.8,100.05,112.7,1.6528925619834711,,,,,,,,,,
core6_all_equal,4,K04-C02,482,35.02906976744186,"{""2009-2010"": 81, ""2011-2012"": 71, ""2013-2014"": 75, ""2015-2016"": 77, ""2017-2018"": 88, ""2021-2023"": 90}",28.45661825726141,28.6,25.8,31.1,1.2448132780082988,126.7344398340249,121.0,91.0,162.0,4.356846473029045,149.201244813278,148.0,126.0,169.0,4.356846473029045,53.90248962655601,53.0,47.25,60.0,4.149377593360995,55.40871369294606,56.0,53.0,59.0,0.0,96.73609958506223,97.3,90.4,103.0,1.6597510373443984,,,,,,,,,,
core6_all_equal,4,K04-C04,378,27.47093023255814,"{""2009-2010"": 60, ""2011-2012"": 50, ""2013-2014"": 63, ""2015-2016"": 63, ""2017-2018"": 70, ""2021-2023"": 72}",40.54026455026455,39.2,35.9,42.9,0.26455026455026454,116.53174603174604,111.0,79.25,142.0,2.1164021164021163,111.94179894179895,112.0,90.0,132.0,2.1164021164021163,53.27513227513227,51.0,45.0,60.0,1.5873015873015872,53.923280423280424,54.0,51.0,58.0,0.0,120.30806878306879,119.1,112.1,127.7,3.439153439153439,,,,,,,,,,
core6_all_equal,4,K04-C01,395,28.706395348837212,"{""2009-2010"": 60, ""2011-2012"": 56, ""2013-2014"": 72, ""2015-2016"": 72, ""2017-2018"": 59, ""2021-2023"": 76}",24.944911392405064,24.5,21.8,27.7,0.5063291139240507,78.64556962025316,72.5,56.0,94.0,1.7721518987341773,109.9367088607595,110.0,91.0,129.0,1.7721518987341773,75.23291139240506,74.0,63.0,84.0,0.5063291139240507,54.392405063291136,55.0,51.0,58.0,0.0,87.81936708860759,86.9,80.4,94.35000000000001,1.2658227848101267,,,,,,,,,,
core6_all_equal,5,K05-C05,288,20.930232558139537,"{""2009-2010"": 43, ""2011-2012"": 33, ""2013-2014"": 48, ""2015-2016"": 47, ""2017-2018"": 56, ""2021-2023"": 61}",42.183125,40.769999999999996,37.752500000000005,44.6,0.0,120.39236111111111,112.0,84.5,151.0,2.083333333333333,113.53819444444444,113.0,90.25,134.0,2.083333333333333,53.52777777777778,51.0,44.75,61.0,1.3888888888888888,55.02430555555556,55.0,52.75,58.0,0.0,123.57274305555555,122.3,115.95,131.55,3.125,,,,,,,,,,
