specification,k,centroid_id,n,share_percent,cycle_counts,centroid_bmi,member_median_bmi,member_q1_bmi,member_q3_bmi,missing_percent_bmi,centroid_triglycerides,member_median_triglycerides,member_q1_triglycerides,member_q3_triglycerides,missing_percent_triglycerides,centroid_ldl,member_median_ldl,member_q1_ldl,member_q3_ldl,missing_percent_ldl,centroid_hdl,member_median_hdl,member_q1_hdl,member_q3_hdl,missing_percent_hdl,centroid_age,member_median_age,member_q1_age,member_q3_age,missing_percent_age,centroid_waist_circumference,member_median_waist_circumference,member_q1_waist_circumference,member_q3_waist_circumference,missing_percent_waist_circumference
core6_operational_positive_weighted,2,K02-C02,291,39.6457765667575,"{""2009-2010"": 36, ""2011-2012"": 37, ""2013-2014"": 56, ""2015-2016"": 54, ""2017-2018"": 57, ""2021-2023"": 51}",40.57003436426117,39.3,36.0,43.1,0.6872852233676976,142.46048109965636,117.0,89.25,172.0,1.718213058419244,108.1958762886598,106.0,86.75,129.25,2.405498281786942,50.36769759450172,48.0,42.5,57.0,1.3745704467353952,54.264604810996566,55.0,51.0,58.0,0.0,121.09896907216495,120.5,113.9,128.375,4.4673539518900345
core6_operational_positive_weighted,2,K02-C01,443,60.3542234332425,"{""2009-2010"": 81, ""2011-2012"": 75, ""2013-2014"": 76, ""2015-2016"": 69, ""2017-2018"": 75, ""2021-2023"": 67}",28.23230248306998,28.2,24.9,31.1,0.9029345372460496,143.51467268623026,121.0,83.0,175.0,2.9345372460496613,134.02257336343115,135.0,107.0,158.5,5.417607223476298,56.70880361173815,54.0,47.0,65.75,2.9345372460496613,55.223476297968396,56.0,53.0,58.0,0.0,96.23273137697517,97.8,89.0,103.025,0.6772009029345373
core6_operational_positive_weighted,3,K03-C03,268,36.51226158038147,"{""2009-2010"": 32, ""2011-2012"": 36, ""2013-2014"": 52, ""2015-2016"": 46, ""2017-2018"": 53, ""2021-2023"": 49}",41.09186567164179,40.1,36.41,43.44,0.3731343283582089,129.36194029850745,115.0,86.5,154.0,1.8656716417910446,107.98880597014926,106.0,88.0,129.0,1.8656716417910446,51.223880597014926,49.0,43.0,57.0,1.4925373134328357,54.33955223880597,55.0,51.0,58.0,0.0,121.79477611940298,120.7,114.2,129.0,4.104477611940299
core6_operational_positive_weighted,3,K03-C01,289,39.3732970027248,"{""2009-2010"": 49, ""2011-2012"": 48, ""2013-2014"": 55, ""2015-2016"": 41, ""2017-2018"": 50, ""2021-2023"": 46}",27.425397923875433,27.5,23.7,30.4525,1.0380622837370241,102.19723183391004,93.0,70.0,125.0,4.498269896193772,117.78892733564014,118.0,95.0,141.0,4.498269896193772,62.15916955017301,59.0,52.0,72.0,4.498269896193772,55.49480968858131,56.0,53.0,59.0,0.0,93.73771626297578,94.1,86.525,100.75,1.0380622837370241
core6_operational_positive_weighted,3,K03-C02,177,24.114441416893733,"{""2009-2010"": 36, ""2011-2012"": 28, ""2013-2014"": 25, ""2015-2016"": 36, ""2017-2018"": 29, ""2021-2023"": 23}",30.362881355932203,30.1,27.5,33.150000000000006,1.1299435028248588,230.6723163841808,196.0,161.0,258.0,0.0,157.4858757062147,157.0,138.5,178.25,7.344632768361582,45.68926553672316,46.0,39.0,51.0,0.0,54.54237288135593,55.0,51.0,58.0,0.0,102.48418079096045,103.0,97.4,108.6,1.1299435028248588
core6_operational_positive_weighted,4,K04-C01,229,31.19891008174387,"{""2009-2010"": 45, ""2011-2012"": 37, ""2013-2014"": 40, ""2015-2016"": 34, ""2017-2018"": 34, ""2021-2023"": 39}",28.361528384279477,28.15,24.525,31.895,1.3100436681222707,97.764192139738,87.5,66.75,120.0,5.676855895196507,101.76855895196506,104.0,83.0,119.25,5.676855895196507,62.29694323144105,60.0,52.0,72.0,5.676855895196507,55.34934497816594,56.0,53.0,59.0,0.0,95.27772925764192,96.0,87.80000000000001,102.35,2.6200873362445414
core6_operational_positive_weighted,4,K04-C04,225,30.65395095367847,"{""2009-2010"": 26, ""2011-2012"": 29, ""2013-2014"": 44, ""2015-2016"": 39, ""2017-2018"": 48, ""2021-2023"": 39}",42.08573333333333,41.0,37.4,44.4,0.0,119.92,112.0,85.75,142.0,2.2222222222222223,113.07555555555555,114.5,95.0,132.0,2.2222222222222223,51.72,49.0,44.0,58.0,1.7777777777777777,54.324444444444445,55.0,51.0,58.0,0.0,123.60177777777778,122.0,116.15,130.39999999999998,2.666666666666667
core6_operational_positive_weighted,4,K04-C03,77,10.490463215258854,"{""2009-2010"": 14, ""2011-2012"": 11, ""2013-2014"": 15, ""2015-2016"": 15, ""2017-2018"": 8, ""2021-2023"": 14}",32.10688311688312,31.34,28.05,36.0,2.5974025974025974,336.32467532467535,307.0,257.0,365.0,0.0,110.23376623376623,104.0,81.75,132.5,16.883116883116884,41.714285714285715,41.0,36.0,46.0,0.0,54.36363636363637,55.0,51.0,58.0,0.0,107.43506493506493,106.4,100.0,113.5,2.5974025974025974
core6_operational_positive_weighted,4,K04-C02,203,27.656675749318797,"{""2009-2010"": 32, ""2011-2012"": 35, ""2013-2014"": 33, ""2015-2016"": 35, ""2017-2018"": 42, ""2021-2023"": 26}",28.948177339901477,28.89,25.825,31.7075,0.49261083743842365,146.63054187192117,140.0,101.0,180.0,0.0,165.6256157635468,159.0,146.0,176.5,0.0,52.532019704433495,51.0,46.0,57.0,0.0,55.029556650246306,55.0,53.0,58.0,0.0,98.37142857142857,99.7,90.4,106.0,0.9852216748768473
core6_operational_positive_weighted,5,K05-C04,64,8.71934604904632,"{""2009-2010"": 11, ""2011-2012"": 9, ""2013-2014"": 14, ""2015-2016"": 11, ""2017-2018"": 7, ""2021-2023"": 12}",32.33890625,31.380000000000003,28.0,36.875,3.125,358.328125,318.5,279.75,381.0,0.0,109.40625,104.0,78.0,127.5,20.3125,42.15625,41.0,36.0,46.25,0.0,54.0,55.0,51.0,57.25,0.0,108.009375,107.4,100.175,114.575,3.125
