specification,k,method,replicate,held_out_cycle,ari
core6_operational_positive_weighted,2,bootstrap_refit,1,,0.7130463464462128
core6_operational_positive_weighted,2,bootstrap_refit,2,,0.8935961078680205
core6_operational_positive_weighted,2,bootstrap_refit,3,,0.9621082196637111
core6_operational_positive_weighted,2,bootstrap_refit,4,,0.9039682519750033
core6_operational_positive_weighted,2,bootstrap_refit,5,,0.8834027795865228
core6_operational_positive_weighted,2,bootstrap_refit,6,,0.8328685635560378
core6_operational_positive_weighted,2,bootstrap_refit,7,,0.914426411602133
core6_operational_positive_weighted,2,bootstrap_refit,8,,0.9039682519750033
core6_operational_positive_weighted,2,bootstrap_refit,9,,0.9143716736664497
core6_operational_positive_weighted,2,bootstrap_refit,10,,0.8833309962994241
core6_operational_positive_weighted,2,bootstrap_refit,11,,0.935449143925071
core6_operational_positive_weighted,2,bootstrap_refit,12,,0.8833635047099231
core6_operational_positive_weighted,2,bootstrap_refit,13,,0.7130889261594382
core6_operational_positive_weighted,2,bootstrap_refit,14,,0.9039473022907251
core6_operational_positive_weighted,2,bootstrap_refit,15,,0.88836276731708
core6_operational_positive_weighted,2,bootstrap_refit,16,,0.6544536778230227
core6_operational_positive_weighted,2,bootstrap_refit,17,,0.9196161971588621
core6_operational_positive_weighted,2,bootstrap_refit,18,,0.8988572964155431
core6_operational_positive_weighted,2,bootstrap_refit,19,,0.95673647271807
core6_operational_positive_weighted,2,bootstrap_refit,20,,0.9460695699860239
core6_operational_positive_weighted,2,bootstrap_refit,21,,0.8988658118686478
core6_operational_positive_weighted,2,bootstrap_refit,22,,0.867811667585543
core6_operational_positive_weighted,2,bootstrap_refit,23,,0.6856982087003533
core6_operational_positive_weighted,2,bootstrap_refit,24,,0.893678324872171
core6_operational_positive_weighted,2,bootstrap_refit,25,,0.9249428069124123
core6_operational_positive_weighted,2,bootstrap_refit,26,,0.663312450903958
core6_operational_positive_weighted,2,bootstrap_refit,27,,0.935449143925071
core6_operational_positive_weighted,2,bootstrap_refit,28,,0.9302279506533082
core6_operational_positive_weighted,2,bootstrap_refit,29,,0.9302279506533082
core6_operational_positive_weighted,2,bootstrap_refit,30,,0.8885327788818007
core6_operational_positive_weighted,2,leave_cycle_out,1,2009-2010,0.8977167254501578
core6_operational_positive_weighted,2,leave_cycle_out,2,2011-2012,0.9639175257731959
core6_operational_positive_weighted,2,leave_cycle_out,3,2013-2014,0.9696917540718111
core6_operational_positive_weighted,2,leave_cycle_out,4,2015-2016,0.9040402102597552
core6_operational_positive_weighted,2,leave_cycle_out,5,2017-2018,0.9104533045842046
core6_operational_positive_weighted,2,leave_cycle_out,6,2021-2023,0.8678886939809716
core6_operational_positive_weighted,3,bootstrap_refit,1,,0.9065794098360418
core6_operational_positive_weighted,3,bootstrap_refit,2,,0.9189539776235112
core6_operational_positive_weighted,3,bootstrap_refit,3,,0.9211502862939439
core6_operational_positive_weighted,3,bootstrap_refit,4,,0.8544442257141323
core6_operational_positive_weighted,3,bootstrap_refit,5,,0.5176232617322222
core6_operational_positive_weighted,3,bootstrap_refit,6,,0.6872137780058687
core6_operational_positive_weighted,3,bootstrap_refit,7,,0.937120866288383
core6_operational_positive_weighted,3,bootstrap_refit,8,,0.6950381902281284
core6_operational_positive_weighted,3,bootstrap_refit,9,,0.5483100701050146
core6_operational_positive_weighted,3,bootstrap_refit,10,,0.8541139687870827
core6_operational_positive_weighted,3,bootstrap_refit,11,,0.7115533707160157
core6_operational_positive_weighted,3,bootstrap_refit,12,,0.8185794549152055
core6_operational_positive_weighted,3,bootstrap_refit,13,,0.8235198330312435
core6_operational_positive_weighted,3,bootstrap_refit,14,,0.9512973427666186
core6_operational_positive_weighted,3,bootstrap_refit,15,,0.9339336578683892
core6_operational_positive_weighted,3,bootstrap_refit,16,,0.6486291563153473
core6_operational_positive_weighted,3,bootstrap_refit,17,,0.9293881894631121
core6_operational_positive_weighted,3,bootstrap_refit,18,,0.9132937312503263
core6_operational_positive_weighted,3,bootstrap_refit,19,,0.6796796078448274
core6_operational_positive_weighted,3,bootstrap_refit,20,,0.5456518199353956
core6_operational_positive_weighted,3,bootstrap_refit,21,,0.6613723741476474
core6_operational_positive_weighted,3,bootstrap_refit,22,,0.6706004501506919
core6_operational_positive_weighted,3,bootstrap_refit,23,,0.813181963858443
core6_operational_positive_weighted,3,bootstrap_refit,24,,0.965312399643328
core6_operational_positive_weighted,3,bootstrap_refit,25,,0.6014786929816776
core6_operational_positive_weighted,3,bootstrap_refit,26,,0.7100349181558401
core6_operational_positive_weighted,3,bootstrap_refit,27,,0.9244775746953914
core6_operational_positive_weighted,3,bootstrap_refit,28,,0.8696768761223422
core6_operational_positive_weighted,3,bootstrap_refit,29,,0.956071498886932
core6_operational_positive_weighted,3,bootstrap_refit,30,,0.899582490197042
core6_operational_positive_weighted,3,leave_cycle_out,1,2009-2010,0.9723532933504418
core6_operational_positive_weighted,3,leave_cycle_out,2,2011-2012,0.9199632469581913
core6_operational_positive_weighted,3,leave_cycle_out,3,2013-2014,0.719697150552038
core6_operational_positive_weighted,3,leave_cycle_out,4,2015-2016,0.9771494363897915
core6_operational_positive_weighted,3,leave_cycle_out,5,2017-2018,0.9535276523953029
core6_operational_positive_weighted,3,leave_cycle_out,6,2021-2023,0.7828236042605403
core6_operational_positive_weighted,4,bootstrap_refit,1,,0.8474073081099974
core6_operational_positive_weighted,4,bootstrap_refit,2,,0.8540916440703223
