Fold,Test_Cycle,Model,Inner_CV_AUC,AUC_ROC,Accuracy,Macro_F1,Recall_Normal,Recall_PreDiabetic,Recall_Diabetic,PreDiabetic_Threshold,Diabetic_Threshold,Selection_Score,Best_Params
1,2009-2010,Logistic Regression,0.7051438173097022,0.6700876367870994,0.38288288288288286,0.38594416073239146,0.21904761904761905,0.42105263157894735,0.7317073170731707,0.25,0.35,0.6088988175506506,"{""model__C"": 2.0}"
1,2009-2010,Random Forest,0.6953680071214703,0.6714784867361874,0.36486486486486486,0.3533045222975432,0.12380952380952381,0.4605263157894737,0.8048780487804879,0.25,0.3,0.6523139401501763,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 15, ""model__min_samples_split"": 20, ""model__n_estimators"": 300}"
2,2011-2012,Logistic Regression,0.6958986666475586,0.693821958970626,0.3736842105263158,0.36022591506462476,0.1794871794871795,0.30434782608695654,0.8372093023255814,0.25,0.2,0.6248242214199551,"{""model__C"": 0.3}"
2,2011-2012,Random Forest,0.6931204568211178,0.6752767766523747,0.3736842105263158,0.35370249040271035,0.11538461538461539,0.391304347826087,0.813953488372093,0.25,0.25,0.6364108539658784,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 15, ""model__min_samples_split"": 20, ""model__n_estimators"": 300}"
3,2013-2014,Logistic Regression,0.6971537329961645,0.7180529119711573,0.3855932203389831,0.37136537586481344,0.18269230769230768,0.30120481927710846,0.9591836734693877,0.25,0.2,0.6841729500318292,"{""model__C"": 0.3}"
3,2013-2014,Random Forest,0.6914199053043344,0.6944765451121383,0.4025423728813559,0.3822295998602132,0.11538461538461539,0.5180722891566265,0.8163265306122449,0.25,0.3,0.6807754145379364,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 15, ""model__min_samples_split"": 20, ""model__n_estimators"": 300}"
4,2015-2016,Logistic Regression,0.6971878257481662,0.7042304314771448,0.4017467248908297,0.4019566619011578,0.2169811320754717,0.4805194805194805,0.6956521739130435,0.25,0.3,0.6181432418072006,"{""model__C"": 0.3}"
4,2015-2016,Random Forest,0.6903520665569939,0.695071618943015,0.4192139737991266,0.4219877857124459,0.3113207547169811,0.36363636363636365,0.7608695652173914,0.3,0.3,0.6115959265129605,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 15, ""model__min_samples_split"": 20, ""model__n_estimators"": 300}"
5,2017-2018,Logistic Regression,0.6944855225189591,0.6928380038714336,0.3418803418803419,0.3223007360600714,0.08823529411764706,0.4691358024691358,0.6470588235294118,0.25,0.3,0.5865998489062663,"{""model__C"": 0.3}"
5,2017-2018,Random Forest,0.6810153878294535,0.6882749454671667,0.36752136752136755,0.3595533661740558,0.1568627450980392,0.49382716049382713,0.5882352941176471,0.3,0.35,0.5684866879032255,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 15, ""model__min_samples_split"": 20, ""model__n_estimators"": 300}"
6,2021-2023,Logistic Regression,0.6983284038372601,0.712617751178544,0.37358490566037733,0.37799672836952247,0.20408163265306123,0.5352112676056338,0.6595744680851063,0.3,0.3,0.618795277574173,"{""model__C"": 0.3}"
6,2021-2023,Random Forest,0.6747754519039919,0.6989339016352147,0.2792452830188679,0.2637337438463142,0.047619047619047616,0.323943661971831,0.9361702127659575,0.25,0.25,0.6714331618555889,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 15, ""model__min_samples_split"": 20, ""model__n_estimators"": 300}"
