Fold,Test_Cycle,Model,Inner_CV_AUC,AUC_ROC,Accuracy,Sensitivity,Specificity,PPV,NPV,F1,Threshold,Best_Params
1,2009-2010,Logistic Regression,0.7352480318934879,0.7019129019129019,0.6441441441441441,0.8547008547008547,0.4095238095238095,0.6172839506172839,0.7166666666666667,0.7168458781362006,0.3199999999999999,"{""model__C"": 0.3}"
1,2009-2010,Random Forest,0.7326593871637895,0.6923076923076923,0.6351351351351351,0.7094017094017094,0.5523809523809524,0.6384615384615384,0.6304347826086957,0.6720647773279351,0.4999999999999998,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 15, ""model__n_estimators"": 300}"
2,2011-2012,Logistic Regression,0.7374131197931989,0.7097069597069597,0.6473684210526316,0.8571428571428571,0.34615384615384615,0.6530612244897959,0.627906976744186,0.7413127413127413,0.29999999999999993,"{""model__C"": 0.1}"
2,2011-2012,Random Forest,0.7244164728880976,0.7121108058608059,0.6473684210526316,0.6517857142857143,0.6410256410256411,0.7227722772277227,0.5617977528089888,0.6854460093896715,0.5099999999999998,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 15, ""model__n_estimators"": 200}"
3,2013-2014,Logistic Regression,0.7250544612637008,0.7368152680652681,0.6694915254237288,0.9015151515151515,0.375,0.6467391304347826,0.75,0.7531645569620252,0.3299999999999999,"{""model__C"": 0.1}"
3,2013-2014,Random Forest,0.7178497874315947,0.7247960372960373,0.652542372881356,0.75,0.5288461538461539,0.668918918918919,0.625,0.7071428571428573,0.4699999999999998,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 15, ""model__n_estimators"": 300}"
4,2015-2016,Logistic Regression,0.7224712522438462,0.7926062279490719,0.7161572052401747,0.7154471544715447,0.7169811320754716,0.7457627118644068,0.6846846846846847,0.7302904564315352,0.4999999999999998,"{""model__C"": 0.1}"
4,2015-2016,Random Forest,0.7301653544759387,0.7606994937873908,0.6812227074235808,0.8861788617886179,0.44339622641509435,0.6488095238095238,0.7704918032786885,0.7491408934707905,0.3699999999999999,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 15, ""model__n_estimators"": 300}"
5,2017-2018,Logistic Regression,0.7330590198378056,0.7222964943553178,0.6581196581196581,0.9772727272727273,0.24509803921568626,0.6262135922330098,0.8928571428571429,0.7633136094674555,0.3099999999999999,"{""model__C"": 0.1}"
5,2017-2018,Random Forest,0.7366514507102438,0.7164289958407605,0.6794871794871795,0.6893939393939394,0.6666666666666666,0.728,0.6238532110091743,0.708171206225681,0.5199999999999998,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 200}"
6,2021-2023,Logistic Regression,0.7350632609038131,0.7302548137899227,0.49056603773584906,0.9661016949152542,0.10884353741496598,0.46530612244897956,0.8,0.628099173553719,0.29999999999999993,"{""model__C"": 0.3}"
6,2021-2023,Random Forest,0.7180589638508602,0.7297936123601984,0.5547169811320755,0.9322033898305084,0.25170068027210885,0.5,0.8222222222222222,0.650887573964497,0.3199999999999999,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 25, ""model__n_estimators"": 300}"
