Fold,Test_Cycle,Model,Inner_CV_AUC,AUC_ROC,Accuracy,Sensitivity,Specificity,PPV,NPV,F1,Threshold,Threshold_Strategy,Original_Threshold_Strategy,Original_Threshold,Guardrail_Triggered,Guardrail_Reason,Guardrail_Spec_Floor,Best_Params,Precision,Recall,FPR,FNR,Balanced_Accuracy,Year_Group
1,2009-2010,Logistic Regression,0.7305572708561341,0.7172161172161172,0.6711711711711712,0.7350427350427351,0.6,0.671875,0.6702127659574468,0.7020408163265306,0.46,guardrail_shift_floor,screening,0.3699999999999999,True,specificity_collapse_shift_floor,0.45,"{""model__C"": 0.1}",0.671875,0.7350427350427351,0.4,0.265,0.6675,2009-2010
1,2009-2010,Random Forest,0.7230706717252057,0.6892144892144891,0.6621621621621622,0.717948717948718,0.6,0.6666666666666666,0.65625,0.691358024691358,0.4999999999999998,youden,youden,0.4999999999999998,False,,0.4,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 15, ""model__n_estimators"": 200}",0.6666666666666666,0.717948717948718,0.4,0.2821,0.659,2009-2010
1,2009-2010,LightGBM,0.7159795614372165,0.6809116809116809,0.6576576576576577,0.7606837606837606,0.5428571428571428,0.6496350364963503,0.6705882352941176,0.7007874015748031,0.47999999999999976,youden,youden,0.47999999999999976,False,,0.4,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 20, ""model__n_estimators"": 200}",0.6496350364963503,0.7606837606837606,0.4571,0.2393,0.6518,2009-2010
1,2009-2010,XGBoost,0.7115040709966705,0.698982498982499,0.6621621621621622,0.6837606837606838,0.638095238095238,0.6779661016949152,0.6442307692307693,0.6808510638297872,0.6899999999999997,youden,youden,0.6899999999999997,False,,0.4,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 200}",0.6779661016949152,0.6837606837606838,0.3619,0.3162,0.6609,2009-2010
2,2011-2012,Logistic Regression,0.7355146812301901,0.7029532967032966,0.6631578947368421,0.6071428571428571,0.7435897435897436,0.7727272727272727,0.5686274509803921,0.68,0.4999999999999998,youden,youden,0.4999999999999998,False,,0.4,"{""model__C"": 1.0}",0.7727272727272727,0.6071428571428571,0.2564,0.3929,0.6754,2011-2012
2,2011-2012,Random Forest,0.7198818852532162,0.6937957875457875,0.6631578947368421,0.6785714285714286,0.6410256410256411,0.7307692307692307,0.5813953488372093,0.7037037037037038,0.47999999999999976,youden,youden,0.47999999999999976,False,,0.4,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 25, ""model__n_estimators"": 200}",0.7307692307692307,0.6785714285714286,0.359,0.3214,0.6598,2011-2012
2,2011-2012,LightGBM,0.7081897338367465,0.6884157509157509,0.6578947368421053,0.6875,0.6153846153846154,0.719626168224299,0.5783132530120482,0.7031963470319634,0.46,guardrail_shift_floor,screening,0.32999999999999985,True,specificity_collapse_shift_floor,0.45,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 20, ""model__n_estimators"": 200}",0.719626168224299,0.6875,0.3846,0.3125,0.6514,2011-2012
2,2011-2012,XGBoost,0.703583423422869,0.6893315018315018,0.6684210526315789,0.8392857142857143,0.4230769230769231,0.6762589928057554,0.6470588235294118,0.749003984063745,0.4999999999999998,screening,screening,0.4999999999999998,False,,0.4,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__n_estimators"": 200}",0.6762589928057554,0.8392857142857143,0.5769,0.1607,0.6312,2011-2012
3,2013-2014,Logistic Regression,0.7259596407098566,0.7334644522144522,0.635593220338983,0.6590909090909091,0.6057692307692307,0.6796875,0.5833333333333334,0.6692307692307692,0.47999999999999976,youden,youden,0.47999999999999976,False,,0.4,"{""model__C"": 0.1}",0.6796875,0.6590909090909091,0.3942,0.3409,0.6324,2013-2014
3,2013-2014,Random Forest,0.7076290248887656,0.7188956876456877,0.635593220338983,0.7348484848484849,0.5096153846153846,0.6554054054054054,0.6022727272727273,0.692857142857143,0.46,guardrail_shift_floor,screening,0.3699999999999999,True,specificity_collapse_shift_floor,0.45,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 25, ""model__n_estimators"": 300}",0.6554054054054054,0.7348484848484849,0.4904,0.2652,0.6222,2013-2014
