scenario,feature,baseline_weight,perturbed_weight,perturbation_percent,weight_ratio,n_total,n_at_risk,n_at_risk_complete,k,inertia,assignment_stability_raw,assignment_stability_aligned,adjusted_rand_index,changed_assignments_aligned,changed_assignments_percent_aligned
baseline,ALL,,,0.0,1.0,1376,734,578,4,3212.7670264845406,1.0,1.0,1.0,0,0.0
bmi_minus20,bmi,1.5,1.2000000000000002,-20.0,0.8,1376,734,578,4,3136.338622680104,0.0017301038062283738,0.9930795847750865,0.9815960055461311,4,0.6920415224913495
bmi_minus10,bmi,1.5,1.35,-10.0,0.9,1376,734,578,4,3174.7965599885456,0.9982698961937716,0.9982698961937716,0.9947540542757737,1,0.17301038062283738
bmi_plus10,bmi,1.5,1.6500000000000001,10.0,1.1,1376,734,578,4,3250.6413010143337,0.17993079584775087,1.0,1.0,0,0.0
bmi_plus20,bmi,1.5,1.7999999999999998,20.0,1.2,1376,734,578,4,3288.4766681553756,0.0,0.9982698961937716,0.9947540542757737,1,0.17301038062283738
triglycerides_minus20,triglycerides,2.0,1.6,-20.0,0.8,1376,734,578,4,3113.605955509039,0.4602076124567474,0.9809688581314879,0.9510743786175753,11,1.9031141868512111
triglycerides_minus10,triglycerides,2.0,1.8,-10.0,0.9,1376,734,578,4,3164.932116385251,0.5259515570934256,0.986159169550173,0.9649159965789873,8,1.384083044982699
triglycerides_plus10,triglycerides,2.0,2.2,10.0,1.1,1376,734,578,4,3259.0906745771535,0.5397923875432526,0.9913494809688581,0.9799924598105754,5,0.8650519031141869
triglycerides_plus20,triglycerides,2.0,2.4,20.0,1.2,1376,734,578,4,3303.4230280872,0.5363321799307958,0.9878892733564014,0.9710001832887749,7,1.2110726643598615
ldl_minus20,ldl,2.5,2.0,-20.0,0.8,1376,734,578,4,3052.1657001464782,0.29930795847750863,0.9809688581314879,0.9541980952741594,11,1.9031141868512111
ldl_minus10,ldl,2.5,2.25,-10.0,0.9,1376,734,578,4,3134.01795220546,0.23529411764705882,0.9878892733564014,0.969665006217826,7,1.2110726643598615
ldl_plus10,ldl,2.5,2.75,10.0,1.1,1376,734,578,4,3290.6939475307854,0.29238754325259514,0.9982698961937716,0.9947540542757737,1,0.17301038062283738
ldl_plus20,ldl,2.5,3.0,20.0,1.2,1376,734,578,4,3367.9471611650238,0.17993079584775087,0.9930795847750865,0.9814715126175314,4,0.6920415224913495
hdl_minus20,hdl,1.2,0.96,-20.0,0.8,1376,734,578,4,3107.530570670925,0.24394463667820068,0.9965397923875432,0.9905560400978042,2,0.34602076124567477
hdl_minus10,hdl,1.2,1.08,-10.0,0.9,1376,734,578,4,3160.2142425896295,0.17993079584775087,1.0,1.0,0,0.0
hdl_plus10,hdl,1.2,1.32,10.0,1.1,1376,734,578,4,3264.8363525773234,0.9930795847750865,0.9930795847750865,0.9808483990631982,4,0.6920415224913495
hdl_plus20,hdl,1.2,1.44,20.0,1.2,1376,734,578,4,3315.953810284166,0.18685121107266436,0.9878892733564014,0.9662023555986388,7,1.2110726643598615
age_minus20,age,1.0,0.8,-20.0,0.8,1376,734,578,4,3099.704584321589,0.46539792387543255,1.0,1.0,0,0.0
age_minus10,age,1.0,0.9,-10.0,0.9,1376,734,578,4,3156.2358054030647,1.0,1.0,1.0,0,0.0
age_plus10,age,1.0,1.1,10.0,1.1,1376,734,578,4,3269.2982475660165,0.17993079584775087,1.0,1.0,0,0.0
age_plus20,age,1.0,1.2,20.0,1.2,1376,734,578,4,3325.860032808947,0.9982698961937716,0.9982698961937716,0.9947540542757737,1,0.17301038062283738
waist_circumference_minus20,waist_circumference,2.0,1.6,-20.0,0.8,1376,734,578,4,3112.8578499513665,0.9688581314878892,0.9688581314878892,0.9151289635943513,18,3.1141868512110724
waist_circumference_minus10,waist_circumference,2.0,1.8,-10.0,0.9,1376,734,578,4,3163.397804226752,0.17993079584775087,0.9982698961937716,0.995788877568652,1,0.17301038062283738
waist_circumference_plus10,waist_circumference,2.0,2.2,10.0,1.1,1376,734,578,4,3262.423247880663,0.0,0.9930795847750865,0.9799988735184703,4,0.6920415224913495
waist_circumference_plus20,waist_circumference,2.0,2.4,20.0,1.2,1376,734,578,4,3309.835604961463,0.9878892733564014,0.9878892733564014,0.9695065485324769,7,1.2110726643598615
