Fold,Test_Cycle,Model,Inner_CV_AUC,AUC_ROC,Accuracy,Sensitivity,Specificity,PPV,NPV,F1,Threshold,Best_Params
1,2009-2010,Logistic Regression,0.7309286979872706,0.710948310948311,0.6531531531531531,0.6923076923076923,0.6095238095238096,0.6639344262295082,0.64,0.6778242677824268,0.47999999999999976,"{""model__C"": 0.1}"
1,2009-2010,Random Forest,0.7285348384621408,0.6972730972730973,0.6666666666666666,0.7350427350427351,0.5904761904761905,0.6666666666666666,0.6666666666666666,0.6991869918699187,0.5199999999999998,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 200}"
1,2009-2010,LightGBM,0.7366320430110617,0.7072039072039072,0.6846846846846847,0.717948717948718,0.6476190476190476,0.6942148760330579,0.6732673267326733,0.7058823529411764,0.4999999999999998,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 30, ""model__n_estimators"": 200}"
2,2011-2012,Logistic Regression,0.734020947945111,0.7052426739926739,0.6631578947368421,0.6160714285714286,0.7307692307692307,0.7666666666666667,0.57,0.6831683168316831,0.46999999999999986,"{""model__C"": 0.1}"
2,2011-2012,Random Forest,0.7256033142876688,0.7119963369963371,0.6842105263157895,0.7321428571428571,0.6153846153846154,0.7321428571428571,0.6153846153846154,0.7321428571428571,0.47999999999999976,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 15, ""model__n_estimators"": 300}"
2,2011-2012,LightGBM,0.71256636999907,0.720467032967033,0.6736842105263158,0.7589285714285714,0.5512820512820513,0.7083333333333334,0.6142857142857143,0.7327586206896552,0.43999999999999984,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 20, ""model__n_estimators"": 200}"
3,2013-2014,Logistic Regression,0.7231731133196794,0.7330273892773893,0.6440677966101694,0.6590909090909091,0.625,0.6904761904761905,0.5909090909090909,0.6744186046511628,0.47999999999999976,"{""model__C"": 0.1}"
3,2013-2014,Random Forest,0.7159528924553199,0.7261800699300699,0.6864406779661016,0.8787878787878788,0.4423076923076923,0.6666666666666666,0.7419354838709677,0.7581699346405228,0.3799999999999999,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 15, ""model__n_estimators"": 300}"
3,2013-2014,LightGBM,0.7097968155983007,0.7314248251748251,0.6610169491525424,0.7121212121212122,0.5961538461538461,0.6911764705882353,0.62,0.7014925373134329,0.5099999999999998,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 20, ""model__n_estimators"": 200}"
4,2015-2016,Logistic Regression,0.7190455044725074,0.7823285780027612,0.7161572052401747,0.7235772357723578,0.7075471698113207,0.7416666666666667,0.6880733944954128,0.7325102880658436,0.46999999999999986,"{""model__C"": 0.1}"
4,2015-2016,Random Forest,0.7232152551906282,0.7543334867310938,0.6768558951965066,0.6910569105691057,0.660377358490566,0.7024793388429752,0.6481481481481481,0.6967213114754098,0.5299999999999998,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 15, ""model__n_estimators"": 200}"
4,2015-2016,LightGBM,0.7118813340848845,0.7317840159533671,0.6637554585152838,0.6341463414634146,0.6981132075471698,0.7090909090909091,0.6218487394957983,0.6695278969957082,0.5799999999999997,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 30, ""model__n_estimators"": 200}"
5,2017-2018,Logistic Regression,0.7241022305963566,0.7268270944741533,0.6837606837606838,0.9015151515151515,0.4019607843137255,0.6611111111111111,0.7592592592592593,0.7628205128205128,0.3799999999999999,"{""model__C"": 0.1}"
5,2017-2018,Random Forest,0.7275878197934637,0.718285799168152,0.688034188034188,0.7424242424242424,0.6176470588235294,0.7153284671532847,0.6494845360824743,0.7286245353159853,0.5099999999999998,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 15, ""model__n_estimators"": 200}"
5,2017-2018,LightGBM,0.7263629320759178,0.7248960190136662,0.6794871794871795,0.7196969696969697,0.6274509803921569,0.7142857142857143,0.6336633663366337,0.7169811320754716,0.5299999999999998,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 30, ""model__n_estimators"": 200}"
6,2021-2023,Logistic Regression,0.7287619322280577,0.7237979937737807,0.6452830188679245,0.8559322033898306,0.47619047619047616,0.5674157303370787,0.8045977011494253,0.6824324324324325,0.48999999999999977,"{""model__C"": 0.3}"
6,2021-2023,Random Forest,0.7150631015817287,0.7252968984203851,0.6037735849056604,0.9067796610169492,0.36054421768707484,0.5323383084577115,0.828125,0.6708463949843261,0.3799999999999999,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 200}"
6,2021-2023,LightGBM,0.7057566786841901,0.7333102732618472,0.6113207547169811,0.8983050847457628,0.38095238095238093,0.5380710659898477,0.8235294117647058,0.6730158730158731,0.32999999999999985,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 30, ""model__n_estimators"": 200}"
