Fold,Test_Cycle,Model,Inner_CV_AUC,AUC_ROC,Accuracy,Sensitivity,Specificity,PPV,NPV,F1,Threshold,Best_Params
1,2009-2010,Logistic Regression,0.73877791575162,0.7206349206349206,0.6396396396396397,0.7264957264957265,0.5428571428571428,0.6390977443609023,0.6404494382022472,0.6799999999999999,0.45999999999999985,"{""model__C"": 0.1}"
1,2009-2010,Random Forest,0.7290565055112747,0.6961334961334962,0.6396396396396397,0.7435897435897436,0.5238095238095238,0.635036496350365,0.6470588235294118,0.6850393700787402,0.4899999999999998,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 15, ""model__n_estimators"": 300}"
1,2009-2010,LightGBM,0.7203912261465598,0.6866096866096867,0.6351351351351351,0.6923076923076923,0.5714285714285714,0.6428571428571429,0.625,0.6666666666666666,0.4999999999999998,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 20, ""model__n_estimators"": 200}"
2,2011-2012,Logistic Regression,0.7404169384164808,0.7079899267399268,0.6473684210526316,0.6785714285714286,0.6025641025641025,0.7102803738317757,0.5662650602409639,0.6940639269406393,0.45999999999999985,"{""model__C"": 0.01}"
2,2011-2012,Random Forest,0.7266382565497009,0.7140567765567766,0.6842105263157895,0.8571428571428571,0.4358974358974359,0.6857142857142857,0.68,0.7619047619047619,0.3799999999999999,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 25, ""model__n_estimators"": 300}"
2,2011-2012,LightGBM,0.7075905245582564,0.7062728937728938,0.6526315789473685,0.8303571428571429,0.3974358974358974,0.6642857142857143,0.62,0.7380952380952381,0.3199999999999999,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 30, ""model__n_estimators"": 200}"
3,2013-2014,Logistic Regression,0.7312152616042722,0.7405303030303031,0.6694915254237288,0.7348484848484849,0.5865384615384616,0.6928571428571428,0.6354166666666666,0.7132352941176471,0.44999999999999984,"{""model__C"": 0.01}"
3,2013-2014,Random Forest,0.7184505886130577,0.7254516317016317,0.6440677966101694,0.6590909090909091,0.625,0.6904761904761905,0.5909090909090909,0.6744186046511628,0.5199999999999998,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 15, ""model__n_estimators"": 200}"
3,2013-2014,LightGBM,0.7041077884747949,0.7153263403263405,0.6567796610169492,0.6439393939393939,0.6730769230769231,0.7142857142857143,0.5982905982905983,0.6772908366533864,0.5399999999999998,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 20, ""model__n_estimators"": 200}"
4,2015-2016,Logistic Regression,0.7257761248812736,0.7927596257094647,0.7292576419213974,0.7804878048780488,0.6698113207547169,0.732824427480916,0.7244897959183674,0.7559055118110236,0.4799999999999998,"{""model__C"": 0.01}"
4,2015-2016,Random Forest,0.7262502660719686,0.7590888173032674,0.7030567685589519,0.6991869918699187,0.7075471698113207,0.7350427350427351,0.6696428571428571,0.7166666666666667,0.5499999999999998,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 300}"
4,2015-2016,LightGBM,0.7002102249154305,0.7241908268139284,0.6593886462882096,0.6747967479674797,0.6415094339622641,0.6859504132231405,0.6296296296296297,0.680327868852459,0.5299999999999998,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 30, ""model__n_estimators"": 200}"
5,2017-2018,Logistic Regression,0.7373055049679026,0.7224450386215091,0.6923076923076923,0.8712121212121212,0.46078431372549017,0.6764705882352942,0.734375,0.7615894039735098,0.4299999999999998,"{""model__C"": 0.1}"
5,2017-2018,Random Forest,0.7345868456729034,0.7113042186571599,0.688034188034188,0.7196969696969697,0.6470588235294118,0.7251908396946565,0.6407766990291263,0.7224334600760457,0.5199999999999998,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 200}"
5,2017-2018,LightGBM,0.72430512494845,0.6971182412358883,0.7008547008547008,0.8181818181818182,0.5490196078431373,0.7012987012987013,0.7,0.7552447552447552,0.44999999999999984,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 30, ""model__n_estimators"": 200}"
6,2021-2023,Logistic Regression,0.7378294316124515,0.734751527729736,0.6867924528301886,0.6949152542372882,0.6802721088435374,0.6356589147286822,0.7352941176470589,0.6639676113360323,0.4699999999999998,"{""model__C"": 0.1}"
6,2021-2023,Random Forest,0.7166926523401352,0.728813559322034,0.6,0.8983050847457628,0.36054421768707484,0.53,0.8153846153846154,0.6666666666666667,0.3799999999999999,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 25, ""model__n_estimators"": 200}"
6,2021-2023,LightGBM,0.6950393586168779,0.7195895307275453,0.5962264150943396,0.864406779661017,0.38095238095238093,0.5284974093264249,0.7777777777777778,0.6559485530546624,0.33999999999999986,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 30, ""model__n_estimators"": 200}"
