Fold,Test_Cycle,Model,Inner_CV_AUC,AUC_ROC,Accuracy,Sensitivity,Specificity,PPV,NPV,F1,Threshold,Best_Params
1,2009-2010,Logistic Regression,0.7405601466582459,0.6993894993894993,0.6261261261261262,0.6666666666666666,0.580952380952381,0.639344262295082,0.61,0.6527196652719667,0.47999999999999976,"{""model__C"": 0.3}"
1,2009-2010,Random Forest,0.7309134343672707,0.6925518925518925,0.6396396396396397,0.7350427350427351,0.5333333333333333,0.6370370370370371,0.6436781609195402,0.6825396825396826,0.47999999999999976,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 15, ""model__n_estimators"": 200}"
1,2009-2010,LightGBM,0.7346237007210177,0.6958078958078958,0.6486486486486487,0.6923076923076923,0.6,0.6585365853658537,0.6363636363636364,0.675,0.5299999999999998,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 20, ""model__n_estimators"": 200}"
2,2011-2012,Logistic Regression,0.7379546080198708,0.7071886446886446,0.6631578947368421,0.5982142857142857,0.7564102564102564,0.7790697674418605,0.5673076923076923,0.6767676767676768,0.48999999999999977,"{""model__C"": 0.1}"
2,2011-2012,Random Forest,0.7298115317736915,0.7099358974358975,0.6684210526315789,0.6607142857142857,0.6794871794871795,0.7474747474747475,0.5824175824175825,0.7014218009478673,0.5099999999999998,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 15, ""model__n_estimators"": 300}"
2,2011-2012,LightGBM,0.7143772589768939,0.7257326007326007,0.6631578947368421,0.8303571428571429,0.4230769230769231,0.6739130434782609,0.6346153846153846,0.744,0.33999999999999986,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 30, ""model__n_estimators"": 200}"
3,2013-2014,Logistic Regression,0.727217742390415,0.7348484848484849,0.6483050847457628,0.6363636363636364,0.6634615384615384,0.7058823529411765,0.5897435897435898,0.6693227091633466,0.4999999999999998,"{""model__C"": 0.01}"
3,2013-2014,Random Forest,0.7180967136171207,0.7253059440559441,0.6567796610169492,0.7121212121212122,0.5865384615384616,0.6861313868613139,0.6161616161616161,0.6988847583643123,0.5099999999999998,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 25, ""model__n_estimators"": 200}"
3,2013-2014,LightGBM,0.7092535910516244,0.7347756410256411,0.6864406779661016,0.8863636363636364,0.4326923076923077,0.6647727272727273,0.75,0.7597402597402597,0.3799999999999999,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 20, ""model__n_estimators"": 200}"
4,2015-2016,Logistic Regression,0.7230327294757309,0.791072250345145,0.7336244541484717,0.7479674796747967,0.7169811320754716,0.7540983606557377,0.7102803738317757,0.7510204081632651,0.4999999999999998,"{""model__C"": 0.1}"
4,2015-2016,Random Forest,0.7294687735378972,0.7550237766528609,0.6899563318777293,0.7073170731707317,0.6698113207547169,0.7131147540983607,0.6635514018691588,0.7102040816326531,0.5599999999999997,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 15, ""model__n_estimators"": 200}"
4,2015-2016,LightGBM,0.7111014698959254,0.7429820524620341,0.6637554585152838,0.6991869918699187,0.6226415094339622,0.6825396825396826,0.6407766990291263,0.6907630522088354,0.5599999999999997,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 30, ""model__n_estimators"": 200}"
5,2017-2018,Logistic Regression,0.7311943529800606,0.7318775995246584,0.6923076923076923,0.75,0.6176470588235294,0.717391304347826,0.65625,0.7333333333333332,0.5099999999999998,"{""model__C"": 0.1}"
5,2017-2018,Random Forest,0.7340175945985541,0.7155377302436126,0.6794871794871795,0.8863636363636364,0.4117647058823529,0.6610169491525424,0.7368421052631579,0.7572815533980584,0.3899999999999999,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 10, ""model__n_estimators"": 200}"
5,2017-2018,LightGBM,0.7254185260115215,0.7208110516934045,0.6794871794871795,0.7045454545454546,0.6470588235294118,0.7209302325581395,0.6285714285714286,0.7126436781609196,0.5499999999999998,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 30, ""model__n_estimators"": 200}"
6,2021-2023,Logistic Regression,0.7324354703802687,0.7340020754064338,0.660377358490566,0.8305084745762712,0.5238095238095238,0.5833333333333334,0.7938144329896907,0.6853146853146853,0.47999999999999976,"{""model__C"": 0.3}"
6,2021-2023,Random Forest,0.7168413750036197,0.7353280295168915,0.6943396226415094,0.7203389830508474,0.673469387755102,0.6390977443609023,0.75,0.6772908366533865,0.4999999999999998,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 25, ""model__n_estimators"": 300}"
6,2021-2023,LightGBM,0.7107806448106345,0.7218955378761674,0.6792452830188679,0.6186440677966102,0.7278911564625851,0.6460176991150443,0.7039473684210527,0.6320346320346321,0.5399999999999998,"{""model__learning_rate"": 0.05, ""model__max_depth"": 3, ""model__min_child_samples"": 30, ""model__n_estimators"": 200}"
