Fold,Test_Cycle,Model,Inner_CV_AUC,AUC_ROC,Accuracy,Macro_F1,Recall_Normal,Recall_PreDiabetic,Recall_Diabetic,PreDiabetic_Threshold,Diabetic_Threshold,Selection_Score,Best_Params
1,2009-2010,Logistic Regression,0.7057154982672832,0.6709365811386548,0.3918918918918919,0.39221586957231347,0.20952380952380953,0.4342105263157895,0.7804878048780488,0.25,0.35,0.6352807797962055,"{""model__C"": 2.0}"
1,2009-2010,Random Forest,0.6946150253148623,0.6690228789297888,0.4009009009009009,0.39357327702885603,0.1523809523809524,0.5394736842105263,0.7804878048780488,0.25,0.35,0.6665448570956805,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 15, ""model__min_samples_split"": 20, ""model__n_estimators"": 300}"
2,2011-2012,Logistic Regression,0.696863552685457,0.6970565433654976,0.4,0.38479578310542584,0.15384615384615385,0.43478260869565216,0.7906976744186046,0.25,0.25,0.6448998339254385,"{""model__C"": 0.3}"
2,2011-2012,Random Forest,0.6943470896202687,0.6828998780895569,0.39473684210526316,0.38308453025665173,0.16666666666666666,0.4057971014492754,0.7906976744186046,0.25,0.25,0.6332872860538987,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 15, ""model__min_samples_split"": 20, ""model__n_estimators"": 300}"
3,2013-2014,Logistic Regression,0.6969758670993539,0.7168060213299494,0.4194915254237288,0.41449786324786325,0.20192307692307693,0.4939759036144578,0.7551020408163265,0.25,0.35,0.6520747868800673,"{""model__C"": 0.3}"
3,2013-2014,Random Forest,0.6928721287570316,0.6874225807426205,0.4067796610169492,0.3948234801728356,0.1346153846153846,0.5301204819277109,0.7755102040816326,0.25,0.35,0.6652414265722137,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 15, ""model__min_samples_split"": 20, ""model__n_estimators"": 300}"
4,2015-2016,Logistic Regression,0.6978310594638232,0.7053294402762913,0.38427947598253276,0.383002583002583,0.19811320754716982,0.45454545454545453,0.6956521739130435,0.25,0.3,0.6096231318298934,"{""model__C"": 0.3}"
4,2015-2016,Random Forest,0.6905235923033034,0.6947771913987795,0.42358078602620086,0.41988742964352727,0.19811320754716982,0.5974025974025974,0.6521739130434783,0.25,0.35,0.6326488498522767,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 15, ""model__min_samples_split"": 20, ""model__n_estimators"": 300}"
5,2017-2018,Logistic Regression,0.6967400704406767,0.6905356718117888,0.358974358974359,0.3370679173180476,0.08823529411764706,0.5061728395061729,0.6666666666666666,0.25,0.3,0.606812382080112,"{""model__C"": 0.3}"
5,2017-2018,Random Forest,0.6815548723794745,0.692764324916366,0.358974358974359,0.3463200495286057,0.13725490196078433,0.5061728395061729,0.5686274509803921,0.3,0.35,0.5636030722527318,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 25, ""model__min_samples_split"": 20, ""model__n_estimators"": 300}"
6,2021-2023,Logistic Regression,0.6972705674133467,0.7111091417335145,0.37358490566037733,0.37587521020091946,0.20408163265306123,0.5070422535211268,0.7021276595744681,0.3,0.3,0.6290857117215977,"{""model__C"": 1.0}"
6,2021-2023,Random Forest,0.674371629630104,0.6893833394466377,0.23773584905660378,0.2225154155557388,0.0,0.36619718309859156,0.7872340425531915,0.25,0.3,0.6131169127456282,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 15, ""model__min_samples_split"": 20, ""model__n_estimators"": 300}"
