Feature,LASSO_Coef,LASSO_Selected,RFE_Selected,MI_Score,RF_Importance,Consensus
hdl,-0.12608801023568011,True,True,0.07033817078716775,0.12019773627988517,True
tg_hdl_ratio,-0.08525744905661745,True,True,0.04904898247612266,0.10622143209598497,True
metabolic_syndrome_score,0.03894630405478143,True,True,0.04689181767242734,0.039409018301683474,True
bmi,0.13099045467761158,True,True,0.04197485842319493,0.13081833788677114,True
bmi_category,0.01396415905133758,True,True,0.03052183997801272,0.023576045040465315,True
triglycerides,0.1842667623230669,True,True,0.02234468326531691,0.09754925361048705,True
systolic,0.1012041983352408,True,True,0.02212345478628497,0.10241625865759525,True
age,0.04522594100820306,True,True,0.009767380049595653,0.08043064015361676,True
ldl,-0.09012297491980513,True,True,0.0,0.13330507932554025,True
diastolic,-0.0350997038570864,True,True,0.0,0.09201682429999865,True
smoking_encoded,0.03371077054924085,True,True,0.0,0.03259094261719128,True
activity_encoded,-0.02902541935747526,True,True,0.0,0.028847569679146853,True
alcohol_encoded,-0.06370122011076752,True,True,0.0,0.012620862051633808,True
