Fold,Test_Cycle,Model,Inner_CV_AUC,AUC_ROC,Accuracy,Macro_F1,Recall_Normal,Recall_PreDiabetic,Recall_Diabetic,PreDiabetic_Threshold,Diabetic_Threshold,Selection_Score,Best_Params
1,2009-2010,Logistic Regression,0.701766346796576,0.687239213084971,0.3918918918918919,0.38831749184281456,0.19047619047619047,0.39473684210526316,0.9024390243902439,0.25,0.25,0.6813823308163237,"{""model__C"": 2.0}"
1,2009-2010,Random Forest,0.6952055431247834,0.6720202918076225,0.38738738738738737,0.3806617953684559,0.13333333333333333,0.5131578947368421,0.8048780487804879,0.25,0.35,0.6695796385022195,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 15, ""model__min_samples_split"": 20, ""model__n_estimators"": 300}"
2,2011-2012,Logistic Regression,0.7032631034287492,0.6863258537429759,0.43157894736842106,0.4136414338589464,0.15384615384615385,0.5652173913043478,0.7209302325581395,0.25,0.25,0.6519310644840097,"{""model__C"": 0.3}"
2,2011-2012,Random Forest,0.6945206590511238,0.684643833609999,0.4631578947368421,0.44533282130056323,0.16666666666666666,0.6376811594202898,0.7209302325581395,0.25,0.3,0.6749183602642778,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 15, ""model__min_samples_split"": 20, ""model__n_estimators"": 300}"
3,2013-2014,Logistic Regression,0.6992187883802411,0.7195226190116519,0.4788135593220339,0.48377222064349085,0.33653846153846156,0.4939759036144578,0.7551020408163265,0.3,0.35,0.6560818242861892,"{""model__C"": 0.3}"
3,2013-2014,Random Forest,0.6921728940694312,0.6920897660553692,0.4152542372881356,0.4057938638169703,0.14423076923076922,0.5421686746987951,0.7755102040816326,0.25,0.35,0.6703378406482956,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 15, ""model__min_samples_split"": 20, ""model__n_estimators"": 300}"
4,2015-2016,Logistic Regression,0.6979787566503187,0.7236805308520888,0.4148471615720524,0.41570427497651113,0.16981132075471697,0.5584415584415584,0.7391304347826086,0.25,0.3,0.6656624831038848,"{""model__C"": 0.3}"
4,2015-2016,Random Forest,0.6895845523219144,0.7030501596955641,0.4672489082969432,0.4717295923676781,0.330188679245283,0.5454545454545454,0.6521739130434783,0.3,0.35,0.6213111360634256,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 15, ""model__min_samples_split"": 20, ""model__n_estimators"": 300}"
5,2017-2018,Logistic Regression,0.6999180051126546,0.6860094528850555,0.36324786324786323,0.353083682351975,0.16666666666666666,0.3333333333333333,0.803921568627451,0.3,0.25,0.6166207805769629,"{""model__C"": 0.3}"
5,2017-2018,Random Forest,0.6884784482445117,0.6929240042788741,0.33760683760683763,0.3301990762860328,0.14705882352941177,0.38271604938271603,0.6470588235294118,0.3,0.3,0.5610860400731266,"{""model__max_depth"": 6, ""model__min_samples_leaf"": 15, ""model__min_samples_split"": 20, ""model__n_estimators"": 300}"
6,2021-2023,Logistic Regression,0.7043099073763407,0.7044549125937627,0.2830188679245283,0.2602367238432812,0.16326530612244897,0.1267605633802817,0.8936170212765957,0.3,0.2,0.5940586472994691,"{""model__C"": 0.3}"
6,2021-2023,Random Forest,0.6805454527359375,0.688686782689288,0.24528301886792453,0.2324532579518873,0.006802721088435374,0.43661971830985913,0.7021276595744681,0.25,0.35,0.5963033817369204,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 15, ""model__min_samples_split"": 20, ""model__n_estimators"": 300}"
